[139905] ['(3-3i)', '(5+i)', '(7-7i)', '(7+5i)'] -> (((3-3i) * (7+5i)) - ((5+i) + (7-7i)))
[139922] ['(3-3i)', '(5+i)', '(7-7i)', '(9+9i)'] -> (((3-3i) + (5+i)) + ((7-7i) + (9+9i)))
[139926] ['(3-3i)', '(5+i)', '(7-6i)', '(8-9i)'] -> ((3-3i) * (((5+i) + (7-6i)) - (8-9i)))
[139932] ['(3-3i)', '(5+i)', '(7-6i)', '(9+8i)'] -> (((3-3i) + (5+i)) + ((7-6i) + (9+8i)))
[139938] ['(3-3i)', '(5+i)', '(7-5i)', '(8-8i)'] -> ((3-3i) * (((5+i) + (7-5i)) - (8-8i)))
[139943] ['(3-3i)', '(5+i)', '(7-5i)', '(9+7i)'] -> (((3-3i) + (5+i)) + ((7-5i) + (9+7i)))
[139950] ['(3-3i)', '(5+i)', '(7-4i)', '(8-7i)'] -> ((3-3i) * (((5+i) + (7-4i)) - (8-7i)))
[139953] ['(3-3i)', '(5+i)', '(7-4i)', '(9+6i)'] -> ((8+8i) + (2i * (-9i - (4-i))))
[139958] ['(3-3i)', '(5+i)', '(7-3i)', '(8-6i)'] -> ((4+4i) * ((4+5i) + (-i - (1+7i))))
[139963] ['(3-3i)', '(5+i)', '(7-3i)', '(9+5i)'] -> (((3-3i) + (5+i)) + ((7-3i) + (9+5i)))
[139971] ['(3-3i)', '(5+i)', '(7-2i)', '(8-5i)'] -> (8 * ((5-8i) - (-4i + (2-4i))))
[139975] ['(3-3i)', '(5+i)', '(7-2i)', '(9+4i)'] -> (((3-3i) + (5+i)) + ((7-2i) + (9+4i)))
[139976] ['(3-3i)', '(5+i)', '(7-i)', '(8-4i)'] -> ((3-3i) * (((5+i) + (7-i)) - (8-4i)))
[139984] ['(3-3i)', '(5+i)', '(7-i)', '(9+5i)'] -> (((5+i) * (7-i)) - ((3-3i) + (9+5i)))
[139990] ['(3-3i)', '(5+i)', '7', '(8-3i)'] -> ((3-3i) * (((5+i) + 7) - (8-3i)))
[139997] ['(3-3i)', '(5+i)', '7', '(9+2i)'] -> ((6+9i) - ((6-3i) * ((5-7i) - (8-7i))))
[140006] ['(3-3i)', '(5+i)', '(7+i)', '(8+8i)'] -> (((3-3i) * (8+8i)) / ((7+i) - (5+i)))
[140008] ['(3-3i)', '(5+i)', '(7+i)', '(9-4i)'] -> (((5+i) * ((9-4i) - (3-3i))) - (7+i))
[140010] ['(3-3i)', '(5+i)', '(7+i)', '(9+i)'] -> (((3-3i) + (5+i)) + ((7+i) + (9+i)))
[140011] ['(3-3i)', '(5+i)', '(7+i)', '(9+3i)'] -> (((3-3i) + (9+3i)) * ((7+i) - (5+i)))
[140020] ['(3-3i)', '(5+i)', '(7+2i)', '(8-i)'] -> ((3-3i) * (((5+i) + (7+2i)) - (8-i)))
[140024] ['(3-3i)', '(5+i)', '(7+2i)', '9'] -> (((3-3i) + (5+i)) + ((7+2i) + 9))
[140034] ['(3-3i)', '(5+i)', '(7+3i)', '8'] -> (((2-8i) - (5-7i)) + ((3-i) * (8+3i)))
[140037] ['(3-3i)', '(5+i)', '(7+3i)', '(9-i)'] -> (((2-4i) - -4i) * ((5-5i) + (7+5i)))
[140043] ['(3-3i)', '(5+i)', '(7+4i)', '(8+i)'] -> (((4-i) * (9-i)) - ((3-6i) + (8-7i)))
[140047] ['(3-3i)', '(5+i)', '(7+4i)', '(9-2i)'] -> (((3-3i) + (5+i)) + ((7+4i) + (9-2i)))
[140053] ['(3-3i)', '(5+i)', '(7+5i)', '(8+2i)'] -> ((3-3i) * (((5+i) + (7+5i)) - (8+2i)))
[140056] ['(3-3i)', '(5+i)', '(7+5i)', '(9-3i)'] -> (((3-3i) + (5+i)) + ((7+5i) + (9-3i)))
[140065] ['(3-3i)', '(5+i)', '(7+6i)', '(8+3i)'] -> ((3-3i) * (((5+i) + (7+6i)) - (8+3i)))
[140067] ['(3-3i)', '(5+i)', '(7+6i)', '(9-4i)'] -> (((3-3i) + (5+i)) + ((7+6i) + (9-4i)))
[140076] ['(3-3i)', '(5+i)', '(7+7i)', '(8+4i)'] -> ((3-3i) * (((5+i) + (7+7i)) - (8+4i)))
[140078] ['(3-3i)', '(5+i)', '(7+7i)', '(9-5i)'] -> (((3-3i) + (5+i)) + ((7+7i) + (9-5i)))
[140082] ['(3-3i)', '(5+i)', '(7+8i)', '(8+5i)'] -> ((3-3i) * (((5+i) + (7+8i)) - (8+5i)))
[140084] ['(3-3i)', '(5+i)', '(7+8i)', '(9-6i)'] -> (((3-3i) + (5+i)) + ((7+8i) + (9-6i)))
[140089] ['(3-3i)', '(5+i)', '(7+9i)', '(8+6i)'] -> ((3-3i) * (((5+i) + (7+9i)) - (8+6i)))
[140091] ['(3-3i)', '(5+i)', '(7+9i)', '(9-7i)'] -> (((2-4i) - -4i) * ((5-2i) + (7+2i)))
[140116] ['(3-3i)', '(5+i)', '(8-8i)', '(9+6i)'] -> (((9+6i) - (3-3i)) / ((5+i) / (8-8i)))
[140123] ['(3-3i)', '(5+i)', '(8-7i)', '(8+9i)'] -> (((3-3i) + (5+i)) + ((8-7i) + (8+9i)))
[140129] ['(3-3i)', '(5+i)', '(8-6i)', '(8+8i)'] -> (7 + ((4+i) * ((1-4i) + (3+3i))))
[140133] ['(3-3i)', '(5+i)', '(8-6i)', '(9-9i)'] -> ((3-3i) * (((5+i) + (8-6i)) - (9-9i)))
[140145] ['(3-3i)', '(5+i)', '(8-5i)', '(8+7i)'] -> (((4-6i) - (4+2i)) * ((7-4i) - (7-7i)))
[140146] ['(3-3i)', '(5+i)', '(8-5i)', '(9-8i)'] -> ((3-3i) * (((5+i) + (8-5i)) - (9-8i)))
