[61680] ['(2-5i)', '(3+9i)', '(6-6i)', '(7+6i)'] -> ((6-6i) * ((7+6i) - ((2-5i) + (3+9i))))
[61740] ['(2-5i)', '(3+9i)', '(6-3i)', '(8-8i)'] -> ((4-4i) * (((5-9i) + (7+5i)) - (9-7i)))
[61810] ['(2-5i)', '(3+9i)', '6', '(9+4i)'] -> (6 * ((9+4i) - ((2-5i) + (3+9i))))
[61876] ['(2-5i)', '(3+9i)', '(6+5i)', '(6+9i)'] -> (((2-5i) + (6+5i)) * ((6+9i) - (3+9i)))
[61891] ['(2-5i)', '(3+9i)', '(6+6i)', '(7+2i)'] -> ((6+6i) * ((7+2i) - ((2-5i) + (3+9i))))
[62246] ['(2-5i)', '(3+9i)', '(8-3i)', '(9-9i)'] -> (((2-5i) * (9-9i)) + ((3+9i) * (8-3i)))
[62262] ['(2-5i)', '(3+9i)', '8', '(8+4i)'] -> (8 * ((8+4i) - ((2-5i) + (3+9i))))
[62266] ['(2-5i)', '(3+9i)', '8', '(9-6i)'] -> (((9-6i) - (3+9i)) / ((2-5i) / 8))
[62454] ['(2-5i)', '(4-9i)', '(4-6i)', '(4+5i)'] -> (((4+5i) * ((4-9i) - (2-5i))) - (4-6i))
[62459] ['(2-5i)', '(4-9i)', '(4-6i)', '(6+6i)'] -> ((6+6i) * ((4-6i) + ((2-5i) - (4-9i))))
[62497] ['(2-5i)', '(4-9i)', '(4-5i)', '(8+9i)'] -> (((4-9i) + (8+9i)) * ((4-5i) - (2-5i)))
[62505] ['(2-5i)', '(4-9i)', '(4-4i)', '(5-i)'] -> ((4-4i) * ((5-i) + ((2-5i) - (4-9i))))
[62555] ['(2-5i)', '(4-9i)', '(4-2i)', '(4+3i)'] -> (-4i + ((5+7i) * ((1-5i) + (1+3i))))
[62567] ['(2-5i)', '(4-9i)', '(4-2i)', '(6-6i)'] -> (6 * ((4-2i) - ((4-7i) - (4-5i))))
[62596] ['(2-5i)', '(4-9i)', '(4-i)', '(6-7i)'] -> (((2-5i) + (4-i)) * ((6-7i) - (4-9i)))
[62615] ['(2-5i)', '(4-9i)', '4', '(4+4i)'] -> (4 * ((4+4i) - ((2-5i) - (4-9i))))
[62630] ['(2-5i)', '(4-9i)', '4', '(8-4i)'] -> (((4-4i) + (5-8i)) + ((6+4i) + (9+8i)))
