[292359] ['(1-8i)', '(1-2i)', '(5+7i)', '(6-5i)'] -> (((1-2i) * (5+7i)) - ((1-8i) - (6-5i)))
[292382] ['(1-8i)', '(1-2i)', '(5+9i)', '(9-7i)'] -> (((1-2i) * (5+9i)) + ((9-7i) / (1-8i)))
[292424] ['(1-8i)', '(1-2i)', '(6-5i)', '(9+3i)'] -> (((1-2i) * ((9+3i) - (1-8i))) - (6-5i))
[292441] ['(1-8i)', '(1-2i)', '(6-2i)', '7'] -> ((6-2i) * (7 - ((1-8i) / (1-2i))))
[292464] ['(1-8i)', '(1-2i)', '6', '(7+4i)'] -> (((1-2i) * ((7+4i) - (1-8i))) - 6)
[292465] ['(1-8i)', '(1-2i)', '6', '(7+6i)'] -> (((1-2i) * (7+6i)) - ((1-8i) - 6))
[292482] ['(1-8i)', '(1-2i)', '(6+3i)', '(6+3i)'] -> ((((1-8i) * (6+3i)) - (6+3i)) / (1-2i))
[292504] ['(1-8i)', '(1-2i)', '(6+5i)', '(7+3i)'] -> (((1-2i) * ((6+5i) - (1-8i))) - (7+3i))
[292509] ['(1-8i)', '(1-2i)', '(6+5i)', '(9-i)'] -> (((1-2i) * (6+5i)) - ((1-8i) - (9-i)))
[292510] ['(1-8i)', '(1-2i)', '(6+5i)', '(9+5i)'] -> (((1-2i) * (9+5i)) - ((1-8i) - (6+5i)))
[292520] ['(1-8i)', '(1-2i)', '(6+6i)', '(9+4i)'] -> (((1-2i) * ((6+6i) - (1-8i))) - (9+4i))
[292574] ['(1-8i)', '(1-2i)', '(7-6i)', '(9+6i)'] -> ((9+6i) * ((1-2i) + ((7-6i) / (1-8i))))
[292576] ['(1-8i)', '(1-2i)', '(7-5i)', '(7+3i)'] -> ((((1-8i) * (7+3i)) - (7-5i)) / (1-2i))
[292597] ['(1-8i)', '(1-2i)', '(7-2i)', '(8+4i)'] -> (((1-2i) * ((8+4i) - (1-8i))) - (7-2i))
[292617] ['(1-8i)', '(1-2i)', '(7+i)', '(9+7i)'] -> (((9+7i) + ((1-8i) * (7+i))) / (1-2i))
[292622] ['(1-8i)', '(1-2i)', '(7+3i)', '(8+5i)'] -> (((1-2i) * (8+5i)) - ((1-8i) - (7+3i)))
[292652] ['(1-8i)', '(1-2i)', '(7+9i)', '(8+8i)'] -> ((8+8i) * ((1-2i) - ((1-8i) / (7+9i))))
[292661] ['(1-8i)', '(1-2i)', '(8-8i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((1-8i) - (1-2i)))
[292675] ['(1-8i)', '(1-2i)', '(8-4i)', '(9+4i)'] -> (((1-2i) * ((9+4i) - (1-8i))) - (8-4i))
[292697] ['(1-8i)', '(1-2i)', '(8+4i)', '(8+4i)'] -> (((8+4i) * ((1-8i) / (1-2i))) - (8+4i))
[292700] ['(1-8i)', '(1-2i)', '(8+4i)', '(9+4i)'] -> (((1-2i) * (8+4i)) - ((1-8i) - (9+4i)))
[292705] ['(1-8i)', '(1-2i)', '(8+5i)', '(9-i)'] -> ((3-3i) * ((9-2i) - ((1-6i) + 4)))
[292714] ['(1-8i)', '(1-2i)', '(8+6i)', '(9+4i)'] -> (((2-i) * (3+5i)) + ((5-8i) + (8+i)))
[292730] ['(1-8i)', '(1-2i)', '(8+8i)', '(9+9i)'] -> (((8+8i) * (9+9i)) / ((1-2i) - (1-8i)))
[292748] ['(1-8i)', '(1-2i)', '(9-4i)', '(9+2i)'] -> (((9+2i) * ((1-8i) / (1-2i))) - (9-4i))
[292762] ['(1-8i)', '(1-2i)', '(9+6i)', '(9+9i)'] -> ((9+9i) * ((1-2i) - ((1-8i) / (9+6i))))
[292765] ['(1-8i)', '(1-i)', '(1-i)', '(1+4i)'] -> (((1-i) * (1-i)) * ((1+4i) - (1-8i)))
[292781] ['(1-8i)', '(1-i)', '(1-i)', '(5+3i)'] -> ((1-i) * ((5+3i) - ((1-8i) * (1-i))))
[292787] ['(1-8i)', '(1-i)', '(1-i)', '(7-2i)'] -> (((1-i) + (1-i)) * ((7-2i) - (1-8i)))
[292788] ['(1-8i)', '(1-i)', '(1-i)', '(8-2i)'] -> ((8-2i) - ((1-i) * ((1-8i) * (1-i))))
[292795] ['(1-8i)', '(1-i)', '1', '(3+3i)'] -> (((1-8i) - 1) / ((1-i) / (3+3i)))
[292840] ['(1-8i)', '(1-i)', '(1+2i)', '(4-i)'] -> ((1-i) + ((1+2i) * ((1-8i) + (4-i))))
[292841] ['(1-8i)', '(1-i)', '(1+2i)', '(4+5i)'] -> (((2-i) * (8+6i)) - ((3+5i) - (5+i)))
[292848] ['(1-8i)', '(1-i)', '(1+2i)', '(6+7i)'] -> (((1-8i) * (1+2i)) + ((1-i) + (6+7i)))
