[80533] ['(1-i)', '(3+i)', '(4+2i)', '(4+4i)'] -> (((1-9i) - (1-6i)) * (7 - (7-8i)))
[80544] ['(1-i)', '(3+i)', '(4+2i)', '(5+9i)'] -> ((1-i) * ((5+9i) + ((3+i) + (4+2i))))
[80547] ['(1-i)', '(3+i)', '(4+2i)', '(6-3i)'] -> (((2-i) * (7+3i)) - ((1-4i) - (8-3i)))
[80552] ['(1-i)', '(3+i)', '(4+2i)', '(6+6i)'] -> ((6+6i) * ((3+i) - ((4+2i) / (1-i))))
[80557] ['(1-i)', '(3+i)', '(4+2i)', '(7+8i)'] -> ((3+i) + ((1-i) * ((4+2i) + (7+8i))))
[80559] ['(1-i)', '(3+i)', '(4+2i)', '(8-8i)'] -> ((8-8i) + ((4+2i) * ((1-i) + (3+i))))
[80561] ['(1-i)', '(3+i)', '(4+2i)', '8'] -> (8 * ((4+2i) - ((3+i) / (1-i))))
[80564] ['(1-i)', '(3+i)', '(4+2i)', '(8+8i)'] -> ((4+2i) + ((1-i) * ((3+i) + (8+8i))))
[80572] ['(1-i)', '(3+i)', '(4+2i)', '(9+3i)'] -> ((9+3i) * ((1-i) + ((4+2i) / (3+i))))
[80587] ['(1-i)', '(3+i)', '(4+3i)', '(5+8i)'] -> ((9-5i) - ((3-4i) * ((8-i) - (9+2i))))
[80600] ['(1-i)', '(3+i)', '(4+3i)', '(7+7i)'] -> ((3+i) + ((1-i) * ((4+3i) + (7+7i))))
[80613] ['(1-i)', '(3+i)', '(4+4i)', '(4+4i)'] -> ((4+4i) * ((3+i) - ((4+4i) / (1-i))))
[80619] ['(1-i)', '(3+i)', '(4+4i)', '(5+7i)'] -> ((1-i) * ((5+7i) + ((3+i) + (4+4i))))
[80620] ['(1-i)', '(3+i)', '(4+4i)', '(6-6i)'] -> ((6-6i) * ((4+4i) + ((1-i) - (3+i))))
[80622] ['(1-i)', '(3+i)', '(4+4i)', '(6+i)'] -> (((1-i) * (4+4i)) * ((6+i) - (3+i)))
[80625] ['(1-i)', '(3+i)', '(4+4i)', '(7-5i)'] -> ((4+4i) * ((7-5i) - ((1-i) * (3+i))))
[80626] ['(1-i)', '(3+i)', '(4+4i)', '(7-3i)'] -> ((6-i) - ((4-7i) * ((4+6i) - (5+8i))))
[80627] ['(1-i)', '(3+i)', '(4+4i)', '(7+i)'] -> (((7+i) * ((1-i) + (3+i))) - (4+4i))
[80631] ['(1-i)', '(3+i)', '(4+4i)', '(7+6i)'] -> ((3+i) + ((1-i) * ((4+4i) + (7+6i))))
[80636] ['(1-i)', '(3+i)', '(4+4i)', '(8-6i)'] -> (((8-6i) * ((3+i) - (1-i))) - (4+4i))
[80637] ['(1-i)', '(3+i)', '(4+4i)', '(8-4i)'] -> ((4+4i) * ((1-i) + ((8-4i) / (3+i))))
[80646] ['(1-i)', '(3+i)', '(4+4i)', '(9-2i)'] -> (((3+i) * (9-2i)) - ((1-i) + (4+4i)))
[80648] ['(1-i)', '(3+i)', '(4+4i)', '(9+3i)'] -> (((1-i) / (3+i)) * ((4+4i) * (9+3i)))
[80650] ['(1-i)', '(3+i)', '(4+4i)', '(9+7i)'] -> ((4+4i) + ((1-i) * ((3+i) + (9+7i))))
[80652] ['(1-i)', '(3+i)', '(4+5i)', '(5-7i)'] -> ((1-i) * ((5-7i) + ((3+i) * (4+5i))))
[80657] ['(1-i)', '(3+i)', '(4+5i)', '(5+6i)'] -> (8 * ((8+7i) + ((3-4i) - (8+3i))))
[80671] ['(1-i)', '(3+i)', '(4+5i)', '(7+5i)'] -> ((3+i) + ((1-i) * ((4+5i) + (7+5i))))
[80673] ['(1-i)', '(3+i)', '(4+5i)', '(8-8i)'] -> ((((4+5i) - (1-i)) * (8-8i)) / (3+i))
[80684] ['(1-i)', '(3+i)', '(4+5i)', '(9+9i)'] -> (((1-i) * ((4+5i) + (9+9i))) - (3+i))
[80696] ['(1-i)', '(3+i)', '(4+6i)', '(5+4i)'] -> (((1-7i) * (2+2i)) + ((2+9i) + (6+3i)))
[80698] ['(1-i)', '(3+i)', '(4+6i)', '(5+5i)'] -> (((7+2i) * (9-i)) - ((4-i) * (9+5i)))
[80708] ['(1-i)', '(3+i)', '(4+6i)', '(7-4i)'] -> (((3+i) * (7-4i)) + ((4+6i) / (1-i)))
[80710] ['(1-i)', '(3+i)', '(4+6i)', '(7+4i)'] -> ((3+i) + ((1-i) * ((4+6i) + (7+4i))))
[80718] ['(1-i)', '(3+i)', '(4+6i)', '8'] -> (((4-4i) + (5+8i)) + ((6-i) + (9-3i)))
[80728] ['(1-i)', '(3+i)', '(4+6i)', '(9+8i)'] -> (((1-i) * ((4+6i) + (9+8i))) - (3+i))
[80739] ['(1-i)', '(3+i)', '(4+7i)', '(5+4i)'] -> (-4i * (((1-i) * (3+i)) - (4-8i)))
[80756] ['(1-i)', '(3+i)', '(4+7i)', '(7+3i)'] -> ((3+i) + ((1-i) * ((4+7i) + (7+3i))))
[80775] ['(1-i)', '(3+i)', '(4+7i)', '(9-i)'] -> ((9-i) + ((1-i) * ((3+i) + (4+7i))))
[80779] ['(1-i)', '(3+i)', '(4+7i)', '(9+7i)'] -> (((1-i) * ((4+7i) + (9+7i))) - (3+i))
[80784] ['(1-i)', '(3+i)', '(4+8i)', '(5-5i)'] -> ((((1-i) + (5-5i)) * (4+8i)) / (3+i))
[80786] ['(1-i)', '(3+i)', '(4+8i)', '(5-4i)'] -> (((1-i) + (4+8i)) + ((3+i) * (5-4i)))
[80788] ['(1-i)', '(3+i)', '(4+8i)', '(5-2i)'] -> ((4+8i) + ((5-2i) * ((1-i) + (3+i))))
[80789] ['(1-i)', '(3+i)', '(4+8i)', '(5+3i)'] -> ((1-i) * ((5+3i) + ((3+i) + (4+8i))))
[80793] ['(1-i)', '(3+i)', '(4+8i)', '6'] -> (((1-i) / (3+i)) * ((4+8i) * 6))
[80806] ['(1-i)', '(3+i)', '(4+8i)', '(7-7i)'] -> ((((7-7i) - (1-i)) * (4+8i)) / (3+i))
