[370760] ['-8i', 'i', '(2-9i)', '(2-7i)'] -> (-8i * ((2-7i) + (i - (2-9i))))
[370761] ['-8i', 'i', '(2-9i)', '(2-5i)'] -> (-8i * ((2-5i) - (i + (2-9i))))
[370774] ['-8i', 'i', '(2-9i)', '(6+2i)'] -> (-8i * (((6+2i) / i) - (2-9i)))
[370775] ['-8i', 'i', '(2-9i)', '(6+6i)'] -> ((6+6i) * ((2-9i) - (-8i + i)))
[370786] ['-8i', 'i', '(2-9i)', '(9-i)'] -> (-8i * ((i * (2-9i)) - (9-i)))
[370789] ['-8i', 'i', '(2-8i)', '(2-6i)'] -> (-8i * ((2-6i) + (i - (2-8i))))
[370790] ['-8i', 'i', '(2-8i)', '(2-4i)'] -> (-6i * (((1+i) + (5+9i)) - (6+6i)))
[370797] ['-8i', 'i', '(2-8i)', '(4+i)'] -> (-8i * (i - ((2-8i) / (4+i))))
[370800] ['-8i', 'i', '(2-8i)', '(5+2i)'] -> (-8i * (((5+2i) / i) - (2-8i)))
[370818] ['-8i', 'i', '(2-8i)', '(8-i)'] -> (((1-8i) + (5+8i)) * ((7+2i) - (3+2i)))
[370827] ['-8i', 'i', '(2-7i)', '(2-5i)'] -> (-8i * ((2-5i) + (i - (2-7i))))
[370828] ['-8i', 'i', '(2-7i)', '(2-3i)'] -> ((-6i + (9+9i)) + ((1+i) * (6-9i)))
[370847] ['-8i', 'i', '(2-7i)', '(4+2i)'] -> (-8i * (((4+2i) / i) - (2-7i)))
[370858] ['-8i', 'i', '(2-7i)', '(6-6i)'] -> ((6-6i) * ((2-7i) - (-8i - i)))
[370865] ['-8i', 'i', '(2-7i)', '(7-i)'] -> (((1-5i) - (1-i)) * ((7-i) - (7-7i)))
[370876] ['-8i', 'i', '(2-6i)', '(2-4i)'] -> (-8i * ((2-4i) + (i - (2-6i))))
[370886] ['-8i', 'i', '(2-6i)', '(3+i)'] -> (-8i * (i - ((2-6i) / (3+i))))
[370887] ['-8i', 'i', '(2-6i)', '(3+2i)'] -> (-8i * (((3+2i) / i) - (2-6i)))
