[117444] ['(3-6i)', '(3+2i)', '(4+7i)', '(9+9i)'] -> 3-3i * 5+4i + 4+2i - 7-i
[117453] ['(3-6i)', '(3+2i)', '(4+8i)', '6'] -> 6 * (4+8i + 3-6i - 3+2i)
[117494] ['(3-6i)', '(3+2i)', '(5-9i)', '(6+i)'] -> 3-6i + 5-9i + 3+2i * 6+i
[117508] ['(3-6i)', '(3+2i)', '(5-9i)', '(8+3i)'] -> 3-6i * 3+2i - (5-9i - 8+3i)
[117548] ['(3-6i)', '(3+2i)', '(5-8i)', '(8+4i)'] -> 3-6i * 3+2i - (5-8i - 8+4i)
[117577] ['(3-6i)', '(3+2i)', '(5-7i)', '(8+5i)'] -> 3-6i * 3+2i - (5-7i - 8+5i)
[117589] ['(3-6i)', '(3+2i)', '(5-6i)', '(6-4i)'] -> 3-6i - 5-6i + 3+2i * 6-4i
[117613] ['(3-6i)', '(3+2i)', '(5-6i)', '(8+6i)'] -> 3-6i * 3+2i - (5-6i - 8+6i)
[117617] ['(3-6i)', '(3+2i)', '(5-6i)', '(9-2i)'] -> (3+2i + 9-2i) * (5-6i - 3-6i)
[117636] ['(3-6i)', '(3+2i)', '(5-5i)', '(8+7i)'] -> 3-6i * 3+2i - (5-5i - 8+7i)
[117673] ['(3-6i)', '(3+2i)', '(5-4i)', '(8+8i)'] -> 3-6i * 3+2i - (5-4i - 8+8i)
[117695] ['(3-6i)', '(3+2i)', '(5-3i)', '(8+9i)'] -> 1-i * 4 * (7+8i - 4+5i)
[117701] ['(3-6i)', '(3+2i)', '(5-2i)', '(6-6i)'] -> (3+2i + 5-2i) * (6-6i - 3-6i)
[117744] ['(3-6i)', '(3+2i)', '5', '(6-4i)'] -> 3-6i + 6-4i + 3+2i * 5
[117748] ['(3-6i)', '(3+2i)', '5', '(7-6i)'] -> 3-6i * (3+2i - 7-6i / 5)
[117777] ['(3-6i)', '(3+2i)', '(5+i)', '(8-7i)'] -> 7+6i * (8-3i - 5-i) - 9+4i
[117801] ['(3-6i)', '(3+2i)', '(5+2i)', '(8+4i)'] -> -4i * (1+8i + 4+7i - 5+9i)
[117809] ['(3-6i)', '(3+2i)', '(5+2i)', '(9+6i)'] -> 6 * 8+8i / (3-5i - 1-7i)
[117815] ['(3-6i)', '(3+2i)', '(5+3i)', '(6+7i)'] -> 3+2i * (3-6i + 5+3i) - 6+7i
[117830] ['(3-6i)', '(3+2i)', '(5+4i)', '(6-6i)'] -> (5+4i - 3-6i) / (3+2i / 6-6i)
[117874] ['(3-6i)', '(3+2i)', '(5+6i)', '6'] -> 3-6i * (5+6i - 3+2i) - 6
[117875] ['(3-6i)', '(3+2i)', '(5+6i)', '(6+2i)'] -> 3-3i * 8-4i + 4+2i * 6+6i
[117893] ['(3-6i)', '(3+2i)', '(5+6i)', '(9+6i)'] -> (3-6i + 5+6i) / (3+2i / 9+6i)
[117897] ['(3-6i)', '(3+2i)', '(5+7i)', '(8-i)'] -> 3-6i - 5+7i + 3+2i * 8-i
[117939] ['(3-6i)', '(3+2i)', '(6-9i)', '(6-9i)'] -> 6-9i - 6-9i * 3-6i / 3+2i
[117943] ['(3-6i)', '(3+2i)', '(6-9i)', '(6+7i)'] -> 3-6i * 6+7i - 3+2i * 6-9i
