[116737] ['(1-4i)', '(3-8i)', '(6-6i)', '(7+2i)'] -> ((((3-8i) + (7+2i)) * (6-6i)) / (1-4i))
[116774] ['(1-4i)', '(3-8i)', '(6-4i)', '6'] -> (6 * ((6-4i) + ((1-4i) - (3-8i))))
[116816] ['(1-4i)', '(3-8i)', '(6-3i)', '(9+9i)'] -> ((-i + 1) * ((6+6i) + (6+6i)))
[116845] ['(1-4i)', '(3-8i)', '(6-i)', '(7-5i)'] -> (((1-4i) * ((6-i) - (3-8i))) - (7-5i))
[116997] ['(1-4i)', '(3-8i)', '(6+6i)', '(9+2i)'] -> ((((3-8i) - (9+2i)) * (6+6i)) / (1-4i))
[116998] ['(1-4i)', '(3-8i)', '(6+7i)', '(7-9i)'] -> (((1-4i) * (6+7i)) - ((3-8i) + (7-9i)))
[117157] ['(1-4i)', '(3-8i)', '(7-i)', '(8-9i)'] -> (((1-4i) * ((7-i) - (3-8i))) - (8-9i))
[117275] ['(1-4i)', '(3-8i)', '(8-8i)', '(9-3i)'] -> (((8-8i) * (9-3i)) / ((3-8i) - (1-4i)))
[117293] ['(1-4i)', '(3-8i)', '(8-6i)', '(8+2i)'] -> ((8-6i) + (((8+2i) * (3-8i)) / (1-4i)))
[117477] ['(1-4i)', '(3-7i)', '(3-6i)', '(6-i)'] -> (((1-4i) * ((6-i) - (3-7i))) - (3-6i))
[117491] ['(1-4i)', '(3-7i)', '(3-5i)', '(3-i)'] -> (((3-7i) * ((3-i) - (1-4i))) - (3-5i))
[117564] ['(1-4i)', '(3-7i)', '(3-4i)', '(8-9i)'] -> (((4-3i) + (5-9i)) + ((6+6i) + (9+6i)))
[117573] ['(1-4i)', '(3-7i)', '(3-4i)', '(9+7i)'] -> ((4+4i) * (4 - ((4+2i) / (1-i))))
[117595] ['(1-4i)', '(3-7i)', '(3-3i)', '(6+i)'] -> ((3-3i) * ((6+i) + ((1-4i) - (3-7i))))
[117609] ['(1-4i)', '(3-7i)', '(3-3i)', '(8-7i)'] -> (((5-i) * (7+5i)) - ((8+9i) + (8+9i)))
[117621] ['(1-4i)', '(3-7i)', '(3-2i)', '(3+i)'] -> (((3-7i) + (3+i)) * ((3-2i) - (1-4i)))
[117699] ['(1-4i)', '(3-7i)', '3', '(4+7i)'] -> (((1-4i) * (3 - (3-7i))) - (4+7i))
