[387] ['2', '4', '7'] -> 4 / (2 + 7) mod 53
[388] ['2', '4', '9'] -> (4 - 9) / 2 mod 53
[389] ['2', '4', '10'] -> 4 + (2 * 10) mod 53
[390] ['2', '4', '11'] -> 4 / (11 - 2) mod 53
[391] ['2', '4', '13'] -> 4 - (13 / 2) mod 53
[392] ['2', '4', '14'] -> (2 * 14) - 4 mod 53
[393] ['2', '4', '19'] -> (2 / 19) - 4 mod 53
[394] ['2', '4', '38'] -> 38 / (2 + 4) mod 53
[395] ['2', '4', '43'] -> 4 - (2 * 43) mod 53
[396] ['2', '4', '44'] -> (4 + 44) / 2 mod 53
[397] ['2', '4', '46'] -> 4 / (2 - 46) mod 53
[398] ['2', '4', '49'] -> 4 * (2 - 49) mod 53
[399] ['2', '4', '50'] -> 50 + (2 / 4) mod 53
[400] ['2', '4', '52'] -> (52 - 4) / 2 mod 53
[401] ['2', '5', '5'] -> (5 / 2) - 5 mod 53
[402] ['2', '5', '8'] -> 8 * (5 - 2) mod 53
[403] ['2', '5', '9'] -> 9 / (2 + 5) mod 53
[404] ['2', '5', '10'] -> (5 - 10) / 2 mod 53
[405] ['2', '5', '11'] -> 11 * (2 + 5) mod 53
[406] ['2', '5', '12'] -> (2 + 12) / 5 mod 53
[407] ['2', '5', '14'] -> 14 + (2 * 5) mod 53
[408] ['2', '5', '16'] -> (16 - 2) / 5 mod 53
[409] ['2', '5', '19'] -> 19 / (5 - 2) mod 53
[410] ['2', '5', '20'] -> (5 - 2) / 20 mod 53
[411] ['2', '5', '22'] -> (2 / 22) - 5 mod 53
[412] ['2', '5', '25'] -> 5 - (2 / 25) mod 53
[413] ['2', '5', '33'] -> (2 - 5) / 33 mod 53
[414] ['2', '5', '35'] -> 35 - (2 / 5) mod 53
[415] ['2', '5', '37'] -> (5 * 37) - 2 mod 53
[416] ['2', '5', '39'] -> (2 * 5) - 39 mod 53
[417] ['2', '5', '40'] -> (2 / 5) - 40 mod 53
[418] ['2', '5', '45'] -> 45 * (2 - 5) mod 53
[419] ['2', '5', '48'] -> 48 + (5 / 2) mod 53
[420] ['2', '6', '7'] -> (7 / 2) - 6 mod 53
[421] ['2', '6', '10'] -> 10 / (2 - 6) mod 53
[422] ['2', '6', '11'] -> (6 - 11) / 2 mod 53
[423] ['2', '6', '12'] -> 12 + (2 * 6) mod 53
[424] ['2', '6', '21'] -> 21 + (6 / 2) mod 53
[425] ['2', '6', '22'] -> (6 * 22) - 2 mod 53
[426] ['2', '6', '26'] -> 2 + (26 / 6) mod 53
[427] ['2', '6', '34'] -> 2 + (6 / 34) mod 53
[428] ['2', '6', '38'] -> 6 / (2 + 38) mod 53
[429] ['2', '6', '39'] -> 2 + (6 * 39) mod 53
[430] ['2', '6', '40'] -> (40 - 2) / 6 mod 53
[431] ['2', '6', '43'] -> 43 / (6 - 2) mod 53
[432] ['2', '6', '46'] -> (2 / 46) - 6 mod 53
[433] ['2', '6', '50'] -> (50 / 6) - 2 mod 53
[434] ['2', '6', '51'] -> 6 * (2 - 51) mod 53
[435] ['2', '7', '7'] -> (2 + 7) / 7 mod 53
[436] ['2', '7', '10'] -> 10 + (2 * 7) mod 53
[437] ['2', '7', '11'] -> (11 - 2) / 7 mod 53
