[1947] ['1/9', '7/6', '2', '4'] -> (((4 * 7/6) - 2) / 1/9)
[1949] ['1/9', '7/6', '2', '5'] -> ((5 - (2 * 7/6)) / 1/9)
[1950] ['1/9', '7/6', '2', '6'] -> (2 / ((7/6 / 6) - 1/9))
[1951] ['1/9', '7/6', '2', '7'] -> ((2 / 1/9) + (7 / 7/6))
[1960] ['1/9', '7/6', '4', '6'] -> (((6 / 4) + 7/6) / 1/9)
[1961] ['1/9', '7/6', '4', '8'] -> (((4 / 1/9) - 8) / 7/6)
[1962] ['1/9', '7/6', '4', '9'] -> (4 / (7/6 - (1/9 * 9)))
[1963] ['1/9', '7/6', '6', '9'] -> (((9 / 6) + 7/6) / 1/9)
[1984] ['1/9', '6/5', '2', '2'] -> (((2 / 1/9) + 2) * 6/5)
[1985] ['1/9', '6/5', '2', '5'] -> ((2 / 1/9) + (5 * 6/5))
[1990] ['1/9', '6/5', '3', '7'] -> (((3 / 1/9) - 7) * 6/5)
[1992] ['1/9', '6/5', '4', '8'] -> (((8 / 6/5) - 4) / 1/9)
[1993] ['1/9', '6/5', '5', '6'] -> (((6/5 / 1/9) - 6) * 5)
[2004] ['1/9', '5/4', '3', '3'] -> (((3 / 1/9) + 3) / 5/4)
[2006] ['1/9', '5/4', '4', '6'] -> (((4 / 1/9) - 6) / 5/4)
[2011] ['1/9', '9/7', '2', '6'] -> (((6 / 9/7) - 2) / 1/9)
[2012] ['1/9', '9/7', '3', '5'] -> ((5 - (3 / 9/7)) / 1/9)
[2013] ['1/9', '9/7', '3', '9'] -> ((1/9 + 3) * (9 - 9/7))
[2015] ['1/9', '9/7', '4', '8'] -> (((4 / 9/7) - 1/9) * 8)
[2017] ['1/9', '9/7', '5', '6'] -> (((5 / 9/7) + 1/9) * 6)
[2030] ['1/9', '8/7', '2', '3'] -> (((2 / 1/9) + 3) * 8/7)
[2031] ['1/9', '8/7', '3', '6'] -> (((3 / 1/9) - 6) * 8/7)
[2079] ['1/8', '1/7', '1', '4'] -> (((1 / 1/7) - 4) / 1/8)
[2134] ['1/8', '1/7', '2', '7'] -> (((1/7 * 7) + 2) / 1/8)
[2143] ['1/8', '1/7', '4', '7'] -> ((4 - (1/7 * 7)) / 1/8)
[2144] ['1/8', '1/7', '4', '8'] -> ((8 / 1/7) - (4 / 1/8))
[2225] ['1/8', '1/6', '1', '3'] -> (((1 / 1/6) - 3) / 1/8)
[2226] ['1/8', '1/6', '1', '4'] -> (((1 / 1/8) - 4) / 1/6)
[2227] ['1/8', '1/6', '1', '9'] -> ((9 - (1 / 1/6)) / 1/8)
[2257] ['1/8', '1/6', '2', '6'] -> (((1/6 * 6) + 2) / 1/8)
[2268] ['1/8', '1/6', '3', '9'] -> (9 / ((1/6 * 3) - 1/8))
[2271] ['1/8', '1/6', '4', '9'] -> ((4 - (1/6 / 1/8)) * 9)
[2273] ['1/8', '1/6', '5', '8'] -> ((5 - (1/8 * 8)) / 1/6)
[2309] ['1/8', '1/5', '1', '8'] -> ((8 - (1 / 1/5)) / 1/8)
[2310] ['1/8', '1/5', '1', '9'] -> (9 / (1 - (1/8 / 1/5)))
[2336] ['1/8', '1/5', '2', '5'] -> (((1/5 * 5) + 2) / 1/8)
[2337] ['1/8', '1/5', '2', '7'] -> (((2 / 1/5) - 7) / 1/8)
[2338] ['1/8', '1/5', '2', '8'] -> ((8 / 1/5) - (2 / 1/8))
[2344] ['1/8', '1/5', '4', '5'] -> ((4 - (1/5 * 5)) / 1/8)
[2345] ['1/8', '1/5', '5', '8'] -> ((5 / 1/5) - (1/8 * 8))
[2346] ['1/8', '1/5', '8', '8'] -> ((8 / 1/8) - (8 / 1/5))
[2395] ['1/8', '1/5', '1', '2'] -> (((1 / 1/5) - 2) / 1/8)
[2405] ['1/8', '2/9', '2', '6'] -> (((2 / 2/9) - 6) / 1/8)
[2518] ['1/8', '1/4', '2', '2'] -> ((2 / 1/4) + (2 / 1/8))
[2519] ['1/8', '1/4', '2', '7'] -> ((2 + 7) / (1/4 + 1/8))
[2520] ['1/8', '1/4', '2', '9'] -> (9 / ((1/4 * 2) - 1/8))
[2528] ['1/8', '1/4', '3', '7'] -> (7 / ((1/8 / 3) + 1/4))
[2536] ['1/8', '1/4', '5', '9'] -> (9 / ((1/8 * 5) - 1/4))
[2561] ['1/8', '2/9', '1', '9'] -> (((2/9 * 9) + 1) / 1/8)
[2617] ['1/8', '1/4', '1', '1'] -> (((1 / 1/4) - 1) / 1/8)
[2623] ['1/8', '1/4', '1', '7'] -> ((7 - (1 / 1/4)) / 1/8)
[2627] ['1/8', '2/7', '4', '7'] -> ((7 / 2/7) - (1/8 * 4))
[2628] ['1/8', '2/7', '5', '7'] -> ((5 - (2/7 * 7)) / 1/8)
[2705] ['1/8', '2/7', '1', '7'] -> (((2/7 * 7) + 1) / 1/8)
[2729] ['1/8', '2/7', '2', '4'] -> (((2 / 2/7) - 4) / 1/8)
[2752] ['1/8', '1/3', '1', '3'] -> (1 / ((1/8 * 3) - 1/3))
[2795] ['1/8', '1/3', '3', '7'] -> (7 / (1/3 - (1/8 / 3)))
[2796] ['1/8', '1/3', '3', '9'] -> (9 / ((1/8 / 3) + 1/3))
[2798] ['1/8', '1/3', '4', '7'] -> ((4 + 7) / (1/3 + 1/8))
[2799] ['1/8', '1/3', '4', '8'] -> (4 / ((1/3 / 8) + 1/8))
[2801] ['1/8', '1/3', '5', '7'] -> (7 / ((1/8 * 5) - 1/3))
[2802] ['1/8', '1/3', '6', '9'] -> ((6 - (1/3 * 9)) / 1/8)
[2856] ['1/8', '3/8', '1', '1'] -> (((1 / 1/8) + 1) / 3/8)
[2863] ['1/8', '3/8', '1', '5'] -> ((1 + 5) / (3/8 - 1/8))
[2885] ['1/8', '3/8', '2', '5'] -> (((2 + 3/8) / 1/8) + 5)
[2886] ['1/8', '3/8', '2', '7'] -> (((2 / 1/8) - 7) / 3/8)
[2897] ['1/8', '3/8', '3', '6'] -> (6 / ((3/8 / 3) + 1/8))
[2898] ['1/8', '3/8', '4', '7'] -> ((7 / (3/8 - 1/8)) - 4)
[2899] ['1/8', '3/8', '5', '5'] -> (((5 - 1/8) * 5) - 3/8)
