[301] ['9', '9', '9', '60'] -> 9 / ((9 / 9) + 60) mod 97
[302] ['1', '1', '25', '40'] -> ((1 / 40) + 1) / 25 mod 97
[303] ['9', '9', '9', '63'] -> ((9 / 9) - 63) * 9 mod 97
[304] ['9', '9', '9', '69'] -> (69 / 9) + (9 * 9) mod 97
[305] ['9', '9', '9', '70'] -> ((9 - 70) * 9) - 9 mod 97
[306] ['9', '9', '9', '85'] -> ((85 / 9) - 9) / 9 mod 97
[307] ['9', '9', '27', '38'] -> (38 - (27 / 9)) * 9 mod 97
[308] ['9', '9', '30', '30'] -> ((30 / 9) - 9) * 30 mod 97
[309] ['9', '9', '30', '84'] -> 84 - ((30 + 9) * 9) mod 97
[310] ['9', '9', '34', '82'] -> (9 / 34) - (82 * 9) mod 97
[311] ['9', '9', '36', '36'] -> (9 - (9 / 36)) * 36 mod 97
[312] ['9', '9', '37', '44'] -> ((9 / 44) + 37) * 9 mod 97
[313] ['1', '1', '25', '46'] -> ((1 / 46) - 1) / 25 mod 97
[314] ['9', '9', '40', '57'] -> (40 + 9) * (57 - 9) mod 97
[315] ['9', '9', '40', '72'] -> ((9 / 40) + 9) * 72 mod 97
[316] ['9', '9', '48', '58'] -> ((58 + 9) * 48) + 9 mod 97
[317] ['9', '9', '49', '58'] -> 9 - ((58 + 9) * 49) mod 97
[318] ['9', '9', '52', '62'] -> (52 * 62) + (9 / 9) mod 97
[319] ['9', '9', '53', '60'] -> (60 / (9 + 9)) + 53 mod 97
[320] ['9', '9', '57', '57'] -> (57 - 9) * (9 - 57) mod 97
[321] ['9', '9', '67', '67'] -> ((67 / 9) + 9) * 67 mod 97
[322] ['9', '9', '67', '81'] -> (9 - (81 * 9)) / 67 mod 97
[323] ['9', '9', '79', '79'] -> (79 / (79 - 9)) - 9 mod 97
[324] ['1', '1', '25', '57'] -> (1 - (1 / 57)) / 25 mod 97
[325] ['9', '9', '93', '93'] -> ((9 - 93) * 9) - 93 mod 97
[326] ['9', '9', '96', '96'] -> 96 - ((9 + 96) * 9) mod 97
[327] ['9', '11', '11', '41'] -> 11 / ((11 / 9) + 41) mod 97
[328] ['9', '11', '11', '87'] -> 11 / ((87 / 9) + 11) mod 97
[329] ['9', '15', '15', '85'] -> (15 * 9) - (15 * 85) mod 97
[330] ['9', '15', '34', '72'] -> ((9 / 15) + 72) * 34 mod 97
[331] ['9', '20', '20', '20'] -> ((9 / 20) - 20) / 20 mod 97
[332] ['9', '21', '21', '21'] -> ((21 / 21) + 21) / 9 mod 97
[333] ['9', '21', '76', '76'] -> ((76 / 76) + 21) / 9 mod 97
[334] ['9', '24', '43', '61'] -> (9 / (43 - 61)) - 24 mod 97
[335] ['1', '1', '1', '85'] -> (1 + 1 + 1) / 85 mod 97
[336] ['1', '1', '25', '59'] -> 59 - ((1 + 1) / 25) mod 97
[337] ['9', '24', '52', '94'] -> (9 - (52 / 94)) / 24 mod 97
[338] ['9', '24', '53', '82'] -> (53 - (82 * 9)) / 24 mod 97
[339] ['9', '26', '30', '30'] -> 9 / ((30 / 26) + 30) mod 97
[340] ['9', '27', '27', '66'] -> (27 + 27) / (66 + 9) mod 97
[341] ['9', '28', '36', '36'] -> 36 - ((36 + 9) / 28) mod 97
[342] ['9', '29', '80', '80'] -> (9 / 80) - (29 / 80) mod 97
