[405] ['1', '34', '34'] -> 34 / (1 - 34) mod 59
[406] ['1', '34', '35'] -> 34 * (1 - 35) mod 59
[407] ['1', '34', '37'] -> 1 - (34 / 37) mod 59
[408] ['1', '34', '44'] -> 1 - (44 / 34) mod 59
[409] ['1', '34', '51'] -> 1 + (34 * 51) mod 59
[410] ['1', '35', '43'] -> 35 - (1 / 43) mod 59
[411] ['1', '35', '46'] -> (1 - 46) / 35 mod 59
[412] ['1', '35', '51'] -> 51 - (1 / 35) mod 59
[413] ['1', '36', '37'] -> (1 + 37) / 36 mod 59
[414] ['1', '36', '41'] -> 36 * (41 - 1) mod 59
[415] ['1', '36', '42'] -> 42 + (1 / 36) mod 59
[416] ['1', '36', '45'] -> 45 / (1 - 36) mod 59
[417] ['1', '36', '51'] -> (36 / 51) - 1 mod 59
[418] ['1', '36', '54'] -> 36 + (1 / 54) mod 59
[419] ['1', '36', '55'] -> 1 / (36 + 55) mod 59
[420] ['1', '36', '57'] -> 1 - (57 / 36) mod 59
[421] ['1', '37', '38'] -> 38 / (37 - 1) mod 59
[422] ['1', '37', '41'] -> 41 * (1 + 37) mod 59
[423] ['1', '37', '42'] -> 1 - (37 / 42) mod 59
[424] ['1', '37', '43'] -> (1 / 37) - 43 mod 59
[425] ['1', '37', '50'] -> 37 - (1 / 50) mod 59
[426] ['1', '37', '52'] -> 1 - (37 * 52) mod 59
[427] ['1', '37', '54'] -> 1 / (37 + 54) mod 59
[428] ['1', '37', '56'] -> 37 / (1 - 56) mod 59
[429] ['1', '37', '57'] -> (1 - 57) / 37 mod 59
[430] ['1', '38', '38'] -> 38 - (1 / 38) mod 59
[431] ['1', '38', '40'] -> 38 * (1 + 40) mod 59
[432] ['1', '38', '42'] -> 38 * (42 - 1) mod 59
[433] ['1', '38', '48'] -> 1 + (48 / 38) mod 59
[434] ['1', '38', '49'] -> (1 / 38) - 49 mod 59
[435] ['1', '38', '51'] -> 51 / (1 + 38) mod 59
[436] ['1', '38', '53'] -> 1 / (38 + 53) mod 59
[437] ['1', '38', '56'] -> 56 / (1 - 38) mod 59
