[353] ['1', '3', '25', '26'] -> (((3 - 1) * 25) - 26)
[354] ['1', '3', '25', '31'] -> ((1 + 3) * (31 - 25))
[355] ['1', '3', '25', '44'] -> (((25 + 44) / 3) + 1)
[356] ['1', '3', '26', '28'] -> (((3 - 1) * 26) - 28)
[357] ['1', '3', '26', '32'] -> ((1 + 3) * (32 - 26))
[358] ['1', '3', '26', '36'] -> (26 / ((3 / 36) + 1))
[359] ['1', '3', '26', '39'] -> ((1 - (3 / 39)) * 26)
[360] ['1', '3', '26', '43'] -> (((26 + 43) / 3) + 1)
[361] ['1', '3', '26', '49'] -> (((26 + 49) / 3) - 1)
[362] ['1', '3', '27', '27'] -> ((1 - (3 / 27)) * 27)
[363] ['1', '3', '27', '30'] -> (((3 - 1) * 27) - 30)
[364] ['1', '3', '27', '42'] -> (((27 + 42) / 3) + 1)
[365] ['1', '3', '28', '31'] -> (31 - (28 / (1 + 3)))
[366] ['1', '3', '28', '34'] -> ((1 + 3) * (34 - 28))
[367] ['1', '3', '28', '41'] -> (((28 + 41) / 3) + 1)
[368] ['1', '3', '28', '47'] -> (((28 + 47) / 3) - 1)
[369] ['1', '3', '29', '35'] -> ((1 + 3) * (35 - 29))
[370] ['1', '3', '29', '40'] -> (((29 + 40) / 3) + 1)
[371] ['1', '3', '29', '46'] -> (((29 + 46) / 3) - 1)
[372] ['1', '3', '30', '45'] -> (((30 + 45) / 3) - 1)
[373] ['1', '3', '31', '37'] -> ((1 + 3) * (37 - 31))
[374] ['1', '3', '31', '44'] -> (((31 + 44) / 3) - 1)
[375] ['1', '3', '32', '32'] -> (32 - (32 / (1 + 3)))
[376] ['1', '3', '32', '35'] -> (35 - ((1 + 32) / 3))
[377] ['1', '3', '32', '36'] -> (3 / ((36 / 32) - 1))
[378] ['1', '3', '32', '37'] -> (((32 + 37) / 3) + 1)
[379] ['1', '3', '32', '38'] -> ((1 + 3) * (38 - 32))
[380] ['1', '3', '32', '43'] -> (((32 + 43) / 3) - 1)
[381] ['1', '3', '34', '44'] -> (((3 - 1) * 34) - 44)
[382] ['1', '3', '35', '41'] -> ((1 + 3) * (41 - 35))
[383] ['1', '3', '35', '46'] -> (((3 - 1) * 35) - 46)
[384] ['1', '3', '37', '43'] -> ((1 + 3) * (43 - 37))
[385] ['1', '3', '38', '41'] -> (38 - ((1 + 41) / 3))
[386] ['1', '3', '38', '44'] -> ((1 + 3) * (44 - 38))
[387] ['1', '3', '39', '44'] -> (39 - ((1 + 44) / 3))
[388] ['1', '3', '40', '46'] -> ((1 + 3) * (46 - 40))
