[328] ['2', '9', '37'] -> (2 * 9) - 37 mod 43
[329] ['2', '9', '38'] -> (2 * 38) - 9 mod 43
[330] ['2', '9', '41'] -> 41 + (9 / 2) mod 43
[331] ['2', '10', '13'] -> 10 * (13 - 2) mod 43
[332] ['2', '10', '14'] -> (2 - 10) / 14 mod 43
[333] ['2', '10', '17'] -> (2 * 17) - 10 mod 43
[334] ['2', '10', '24'] -> (10 / 2) - 24 mod 43
[335] ['2', '10', '25'] -> (25 / 2) - 10 mod 43
[336] ['2', '10', '30'] -> 30 / (2 + 10) mod 43
[337] ['2', '10', '35'] -> 2 / (10 - 35) mod 43
[338] ['2', '10', '39'] -> (2 * 10) - 39 mod 43
[339] ['2', '10', '40'] -> 40 * (2 - 10) mod 43
[340] ['2', '11', '18'] -> (11 * 18) - 2 mod 43
[341] ['2', '11', '21'] -> 2 - (11 / 21) mod 43
[342] ['2', '11', '22'] -> 2 + (11 / 22) mod 43
[343] ['2', '11', '25'] -> 25 * (2 + 11) mod 43
[344] ['2', '11', '31'] -> (2 + 11) / 31 mod 43
[345] ['2', '11', '35'] -> 11 * (2 - 35) mod 43
[346] ['2', '11', '36'] -> 2 / (11 - 36) mod 43
[347] ['2', '11', '38'] -> (11 - 2) / 38 mod 43
[348] ['2', '11', '40'] -> 40 + (11 / 2) mod 43
[349] ['2', '12', '12'] -> (2 / 12) - 12 mod 43
[350] ['2', '12', '20'] -> 12 / (2 + 20) mod 43
[351] ['2', '12', '28'] -> (2 + 28) / 12 mod 43
[352] ['2', '12', '31'] -> 31 + (2 / 12) mod 43
[353] ['2', '12', '35'] -> 35 / (2 + 12) mod 43
[354] ['2', '12', '39'] -> (2 - 12) / 39 mod 43
[355] ['2', '12', '40'] -> (2 + 12) / 40 mod 43
[356] ['2', '13', '15'] -> 2 - (15 / 13) mod 43
[357] ['2', '13', '17'] -> 2 - (13 / 17) mod 43
[358] ['2', '13', '18'] -> (18 - 13) / 2 mod 43
[359] ['2', '13', '20'] -> 13 * (2 - 20) mod 43
[360] ['2', '13', '21'] -> 13 - (21 / 2) mod 43
[361] ['2', '13', '23'] -> 13 * (2 + 23) mod 43
[362] ['2', '13', '25'] -> 2 * (25 - 13) mod 43
[363] ['2', '13', '26'] -> 2 + (13 / 26) mod 43
[364] ['2', '13', '28'] -> 2 + (28 / 13) mod 43
[365] ['2', '13', '29'] -> 13 / (2 + 29) mod 43
[366] ['2', '13', '36'] -> 36 * (2 + 13) mod 43
[367] ['2', '13', '40'] -> (2 * 40) - 13 mod 43
[368] ['2', '13', '41'] -> 41 + (2 * 13) mod 43
[369] ['2', '13', '42'] -> 2 * (13 + 42) mod 43
[370] ['2', '14', '16'] -> 14 * (16 - 2) mod 43
[371] ['2', '14', '18'] -> 18 - (2 / 14) mod 43
[372] ['2', '14', '21'] -> (2 - 14) / 21 mod 43
[373] ['2', '14', '22'] -> (14 - 2) / 22 mod 43
[374] ['2', '14', '42'] -> 14 / (42 - 2) mod 43
[375] ['2', '15', '17'] -> 15 - (2 * 17) mod 43
[376] ['2', '15', '20'] -> (20 - 15) / 2 mod 43
[377] ['2', '15', '22'] -> (2 / 15) - 22 mod 43
[378] ['2', '15', '24'] -> (2 + 15) / 24 mod 43
[379] ['2', '15', '26'] -> 15 + (2 * 26) mod 43
[380] ['2', '15', '30'] -> 2 + (15 / 30) mod 43
[381] ['2', '15', '31'] -> (15 - 2) / 31 mod 43
[382] ['2', '15', '34'] -> 15 * (2 + 34) mod 43
[383] ['2', '15', '35'] -> (35 / 2) - 15 mod 43
[384] ['2', '16', '16'] -> 16 + (16 / 2) mod 43
[385] ['2', '16', '17'] -> 16 / (17 - 2) mod 43
[386] ['2', '16', '22'] -> 16 * (2 - 22) mod 43
[387] ['2', '16', '25'] -> 16 * (25 - 2) mod 43
[388] ['2', '16', '34'] -> 2 / (34 - 16) mod 43
[389] ['2', '16', '41'] -> 2 / (16 - 41) mod 43
[390] ['2', '17', '21'] -> 17 / (2 - 21) mod 43
[391] ['2', '17', '23'] -> (23 - 2) / 17 mod 43
[392] ['2', '17', '25'] -> 17 + (2 * 25) mod 43
[393] ['2', '17', '27'] -> 27 / (2 - 17) mod 43
[394] ['2', '17', '30'] -> 2 + (30 / 17) mod 43
[395] ['2', '17', '33'] -> 33 + (2 * 17) mod 43
[396] ['2', '17', '35'] -> 2 / (35 - 17) mod 43
[397] ['2', '18', '20'] -> 20 * (2 - 18) mod 43
[398] ['2', '18', '21'] -> (2 * 21) - 18 mod 43
[399] ['2', '18', '27'] -> 27 * (2 + 18) mod 43
[400] ['2', '18', '29'] -> 18 + (2 / 29) mod 43
[401] ['2', '18', '32'] -> 18 * (32 - 2) mod 43
[402] ['2', '18', '33'] -> 33 - (18 / 2) mod 43
[403] ['2', '18', '34'] -> 2 - (34 / 18) mod 43
[404] ['2', '19', '22'] -> 22 / (2 - 19) mod 43
[405] ['2', '19', '26'] -> 2 - (19 * 26) mod 43
[406] ['2', '19', '28'] -> (28 - 2) / 19 mod 43
[407] ['2', '19', '33'] -> 19 - (33 / 2) mod 43
[408] ['2', '19', '37'] -> 2 / (37 - 19) mod 43
[409] ['2', '20', '26'] -> (2 + 20) / 26 mod 43
[410] ['2', '20', '27'] -> 27 + (2 * 20) mod 43
[411] ['2', '20', '28'] -> (20 + 28) / 2 mod 43
[412] ['2', '20', '30'] -> 30 * (20 - 2) mod 43
[413] ['2', '20', '34'] -> 34 - (20 / 2) mod 43
[414] ['2', '21', '25'] -> 25 + (2 * 21) mod 43
[415] ['2', '21', '27'] -> (21 + 27) / 2 mod 43
[416] ['2', '21', '29'] -> (2 + 29) / 21 mod 43
[417] ['2', '21', '32'] -> 2 + (32 / 21) mod 43
[418] ['2', '21', '39'] -> 2 / (39 - 21) mod 43
[419] ['2', '22', '25'] -> 25 - (2 * 22) mod 43
[420] ['2', '22', '26'] -> (22 + 26) / 2 mod 43
[421] ['2', '22', '30'] -> (22 / 2) - 30 mod 43
[422] ['2', '22', '32'] -> 2 - (32 / 22) mod 43
[423] ['2', '22', '34'] -> 2 * (34 - 22) mod 43
[424] ['2', '23', '25'] -> (23 + 25) / 2 mod 43
[425] ['2', '23', '26'] -> (2 - 23) / 26 mod 43
[426] ['2', '23', '28'] -> (28 - 23) / 2 mod 43
[427] ['2', '23', '31'] -> 31 / (23 - 2) mod 43
[428] ['2', '23', '35'] -> 2 * (35 - 23) mod 43
[429] ['2', '24', '28'] -> (2 - 28) / 24 mod 43
[430] ['2', '25', '27'] -> 27 * (2 - 25) mod 43
[431] ['2', '25', '29'] -> (2 / 29) - 25 mod 43
[432] ['2', '25', '31'] -> 31 - (2 * 25) mod 43
[433] ['2', '25', '33'] -> 33 + (25 / 2) mod 43
[434] ['2', '25', '34'] -> 2 + (34 / 25) mod 43
[435] ['2', '25', '38'] -> (2 / 25) - 38 mod 43
[436] ['2', '26', '26'] -> 26 / (2 - 26) mod 43
[437] ['2', '26', '27'] -> 27 / (2 + 26) mod 43
