[274] ['1', '5', '42', '51'] -> (5 * (51 - 42)) - 1 base 6
[275] ['1', '5', '43', '51'] -> (1 + 5) * (51 - 43) base 6
[276] ['1', '5', '43', '52'] -> (5 * (52 - 43)) - 1 base 6
[277] ['1', '5', '44', '50'] -> 44 / (1 + (5 / 50)) base 6
[278] ['1', '5', '44', '52'] -> (1 + 5) * (52 - 44) base 6
[279] ['1', '5', '44', '53'] -> (5 * (53 - 44)) - 1 base 6
[280] ['1', '5', '45', '45'] -> 45 * (1 - (5 / 45)) base 6
[281] ['1', '5', '45', '53'] -> (1 + 5) * (53 - 45) base 6
[282] ['1', '5', '45', '54'] -> (5 * (54 - 45)) - 1 base 6
[283] ['1', '5', '50', '54'] -> (1 + 5) * (54 - 50) base 6
[284] ['1', '5', '51', '54'] -> 51 - ((1 + 54) / 5) base 6
[285] ['1', '10', '10', '10'] -> (10 * (10 - 1)) - 10 base 6
[286] ['1', '10', '10', '12'] -> 10 / (1 - (10 / 12)) base 6
[287] ['1', '10', '10', '50'] -> 10 * ((50 / 10) - 1) base 6
[288] ['1', '10', '11', '13'] -> (1 + 11) * (13 - 10) base 6
[289] ['1', '10', '11', '33'] -> 10 * (1 + (33 / 11)) base 6
[290] ['1', '10', '12', '50'] -> (10 * (1 + 12)) - 50 base 6
[291] ['1', '10', '13', '40'] -> (10 * (13 - 1)) - 40 base 6
[292] ['1', '10', '15', '21'] -> (1 + (15 * 21)) / 10 base 6
[293] ['1', '10', '15', '34'] -> 34 + ((1 + 15) / 10) base 6
[294] ['1', '10', '15', '42'] -> 42 - ((1 + 15) / 10) base 6
[295] ['1', '10', '15', '51'] -> (15 * (10 - 1)) - 51 base 6
[296] ['1', '10', '15', '53'] -> 10 * (1 + (53 / 15)) base 6
[297] ['1', '10', '21', '44'] -> 44 / ((21 / 10) - 1) base 6
[298] ['1', '10', '22', '34'] -> 34 + (22 / (1 + 10)) base 6
[299] ['1', '10', '22', '42'] -> 42 - (22 / (1 + 10)) base 6
[300] ['1', '10', '24', '30'] -> 24 / (1 - (10 / 30)) base 6
[301] ['1', '10', '25', '43'] -> 43 - ((1 + 25) / 10) base 6
[302] ['1', '10', '30', '30'] -> 30 * (1 + (10 / 30)) base 6
[303] ['1', '10', '30', '52'] -> 52 / (1 + (10 / 30)) base 6
[304] ['1', '10', '31', '45'] -> 31 + ((1 + 45) / 10) base 6
[305] ['1', '10', '33', '33'] -> 33 + (33 / (1 + 10)) base 6
[306] ['1', '10', '33', '43'] -> 43 - (33 / (1 + 10)) base 6
[307] ['1', '10', '33', '44'] -> 10 / (1 - (33 / 44)) base 6
[308] ['1', '10', '34', '53'] -> 53 * (1 - (10 / 34)) base 6
[309] ['1', '10', '44', '44'] -> 44 - (44 / (1 + 10)) base 6
[310] ['1', '10', '45', '45'] -> 45 - ((1 + 45) / 10) base 6
[311] ['1', '11', '11', '20'] -> 20 * (1 + (11 / 11)) base 6
[312] ['1', '11', '11', '25'] -> 11 * (1 + (25 / 11)) base 6
[313] ['1', '11', '11', '30'] -> (11 * (11 - 1)) - 30 base 6
[314] ['1', '11', '11', '51'] -> 11 * ((51 / 11) - 1) base 6
[315] ['1', '11', '11', '52'] -> (11 * (1 + 11)) - 52 base 6
[316] ['1', '11', '12', '22'] -> 12 * (1 + (22 / 11)) base 6
[317] ['1', '11', '12', '44'] -> 12 * ((44 / 11) - 1) base 6
[318] ['1', '11', '13', '15'] -> (1 + 15) * (13 - 11) base 6
[319] ['1', '11', '13', '50'] -> (13 * (11 - 1)) - 50 base 6
[320] ['1', '11', '13', '51'] -> ((11 * 51) - 1) / 13 base 6
[321] ['1', '11', '13', '52'] -> (11 * (13 - 1)) - 52 base 6
[322] ['1', '11', '14', '21'] -> (1 + 11) * (21 - 14) base 6
[323] ['1', '11', '20', '33'] -> 20 * ((33 / 11) - 1) base 6
[324] ['1', '11', '21', '21'] -> ((21 * 21) - 1) / 11 base 6
[325] ['1', '11', '21', '24'] -> (1 + 11) * (24 - 21) base 6
[326] ['1', '11', '21', '34'] -> 34 + ((1 + 21) / 11) base 6
[327] ['1', '11', '21', '42'] -> 42 - ((1 + 21) / 11) base 6
[328] ['1', '11', '21', '44'] -> 44 * ((21 / 11) - 1) base 6
[329] ['1', '11', '22', '31'] -> 22 * ((31 / 11) - 1) base 6
[330] ['1', '11', '22', '54'] -> 11 * (1 + (54 / 22)) base 6
[331] ['1', '11', '23', '30'] -> (1 + 11) * (30 - 23) base 6
[332] ['1', '11', '23', '33'] -> 33 * ((23 / 11) - 1) base 6
[333] ['1', '11', '24', '31'] -> (1 + 11) * (31 - 24) base 6
[334] ['1', '11', '24', '33'] -> 24 / (1 - (11 / 33)) base 6
[335] ['1', '11', '24', '34'] -> 34 + (24 / (1 + 11)) base 6
[336] ['1', '11', '24', '42'] -> 42 - (24 / (1 + 11)) base 6
[337] ['1', '11', '25', '25'] -> 25 * (1 + (11 / 25)) base 6
[338] ['1', '11', '25', '32'] -> (1 + 11) * (32 - 25) base 6
[339] ['1', '11', '30', '44'] -> 30 / (1 - (11 / 44)) base 6
[340] ['1', '11', '31', '34'] -> (1 + 11) * (34 - 31) base 6
