[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[302] ['10', '25', '2A', '2C'] -> ((2A - 25) * 10) - 2C base 16
[303] ['1', '12', '28', '28'] -> ((28 / 28) + 1) * 12 base 16
[304] ['10', '26', '29', '2A'] -> 29 - ((26 + 2A) / 10) base 16
[305] ['10', '26', '2B', '2C'] -> ((2B - 26) * 10) - 2C base 16
[306] ['10', '26', '2E', '31'] -> ((26 * 2E) + 10) / 31 base 16
[307] ['10', '27', '29', '29'] -> 29 - ((27 + 29) / 10) base 16
[308] ['10', '27', '2C', '2C'] -> ((2C - 27) * 10) - 2C base 16
[309] ['10', '28', '28', '29'] -> 29 - ((28 + 28) / 10) base 16
[310] ['10', '28', '29', '2E'] -> ((28 * 29) + 10) / 2E base 16
[311] ['10', '28', '2C', '2D'] -> ((2D - 28) * 10) - 2C base 16
[312] ['10', '29', '2C', '2E'] -> ((2E - 29) * 10) - 2C base 16
[313] ['10', '2A', '2C', '2F'] -> ((2F - 2A) * 10) - 2C base 16
[314] ['1', '12', '28', '2C'] -> 2C / ((28 / 12) - 1) base 16
[315] ['10', '2A', '2F', '31'] -> 2A - ((2F + 31) / 10) base 16
[316] ['10', '2A', '30', '30'] -> 2A - ((30 + 30) / 10) base 16
[317] ['10', '2B', '2C', '30'] -> ((30 - 2B) * 10) - 2C base 16
[318] ['10', '2C', '2C', '31'] -> ((31 - 2C) * 10) - 2C base 16
[319] ['11', '11', '11', '23'] -> ((11 * 23) + 11) / 11 base 16
[320] ['11', '11', '11', '25'] -> ((11 * 25) - 11) / 11 base 16
[321] ['11', '11', '11', '26'] -> 26 - ((11 + 11) / 11) base 16
[322] ['11', '11', '15', '20'] -> ((15 - 11) * 11) - 20 base 16
[323] ['11', '11', '16', '31'] -> ((16 - 11) * 11) - 31 base 16
[324] ['11', '11', '21', '22'] -> ((11 + 22) / 11) + 21 base 16
[325] ['1', '12', '29', '29'] -> ((29 / 29) + 1) * 12 base 16
[326] ['11', '11', '22', '22'] -> ((11 * 22) + 22) / 11 base 16
[327] ['11', '11', '22', '27'] -> 27 - ((11 + 22) / 11) base 16
[328] ['11', '12', '12', '23'] -> ((12 * 23) - 12) / 11 base 16
[329] ['11', '12', '13', '23'] -> ((13 * 23) - 11) / 12 base 16
[330] ['11', '12', '13', '25'] -> ((11 * 25) + 13) / 12 base 16
[331] ['11', '12', '15', '1E'] -> ((15 * 1E) - 12) / 11 base 16
[332] ['11', '12', '16', '20'] -> ((16 - 12) * 11) - 20 base 16
[333] ['11', '12', '17', '31'] -> ((17 - 12) * 11) - 31 base 16
[334] ['11', '12', '20', '28'] -> ((11 * 28) - 20) / 12 base 16
[335] ['11', '12', '21', '25'] -> ((11 + 25) / 12) + 21 base 16
[336] ['1', '1', '19', '2F'] -> (19 + 2F) / (1 + 1) base 16
[337] ['1', '12', '29', '2E'] -> 2E / ((29 / 12) - 1) base 16
[338] ['11', '12', '21', '27'] -> 27 - ((12 + 21) / 11) base 16
[339] ['11', '12', '25', '27'] -> 27 - ((11 + 25) / 12) base 16
[340] ['11', '12', '29', '31'] -> ((11 * 29) - 31) / 12 base 16
[341] ['11', '13', '14', '1C'] -> ((13 - 11) * 1C) - 14 base 16
