[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[234] ['4i', '1', '4', '(5+i)'] -> ((1 + 5+i) * 4) - 4i
[235] ['4i', '1', '(4+i)', '(4+3i)'] -> ((4+i - 4i) * 4+3i) - 1
[236] ['i', '1', '(3+4i)', '(4+4i)'] -> ((3+4i / i) - 1) * 4+4i
[237] ['4i', '1', '(4+4i)', '5'] -> (1 + 5) * (4+4i - 4i)
[238] ['4i', '1', '5', '(5+4i)'] -> ((5+4i - 4i) * 5) - 1
[239] ['4i', '1', '5', '(6+i)'] -> ((5 - 1) * 6+i) - 4i
[240] ['4i', '1', '6', '(6+i)'] -> 4i / ((6+i / 6) - 1)
[241] ['4i', '(1+i)', '(1+i)', '(1+6i)'] -> ((1+i / 1+i) - 1+6i) * 4i
[242] ['4i', '(1+i)', '(1+i)', '(4+3i)'] -> (1+i - (1+i * 4+3i)) * 4i
[243] ['4i', '(3+i)', '(3+3i)', '(4+5i)'] -> ((3+i - 4i) * 4+5i) - 3+3i
[244] ['4i', '(3+i)', '(3+6i)', '(4+4i)'] -> ((4+4i / 3+i) - 4i) * 3+6i
[245] ['4i', '(3+i)', '4', '(5+3i)'] -> (4 * 5+3i) - (3+i * 4i)
[246] ['4i', '(3+i)', '(4+4i)', '(4+4i)'] -> (3+i * 4+4i) - (4+4i * 4i)
[247] ['i', '1', '(4+i)', '5'] -> (1 + 5) * (4+i - i)
[248] ['4i', '(3+i)', '(4+4i)', '6'] -> ((4+4i / 4i) + 3+i) * 6
[249] ['4i', '(3+2i)', '4', '(4+3i)'] -> (4 * 4+3i) - (3+2i * 4i)
[250] ['4i', '(3+2i)', '5', '(6+2i)'] -> (4i + 6+2i) * (5 - 3+2i)
[251] ['4i', '(3+3i)', '(3+3i)', '4'] -> (3+3i * 4) - (3+3i * 4i)
[252] ['4i', '(3+3i)', '(3+3i)', '5'] -> ((5 - 4i) * 3+3i) - 3+3i
[253] ['4i', '(3+3i)', '4', '6'] -> (4 + 4i) * (6 - 3+3i)
[254] ['4i', '(3+3i)', '(6+2i)', '(6+3i)'] -> (3+3i * 6+2i) - (4i * 6+3i)
[255] ['4i', '(3+4i)', '4', '4'] -> (3+4i - 4i) * (4 + 4)
[256] ['4i', '(3+4i)', '4', '(4+3i)'] -> (3+4i * 4) - (4+3i * 4i)
[257] ['4i', '(3+4i)', '4', '(4+4i)'] -> ((4 - 4i) * 3+4i) - 4+4i
[258] ['i', '1', '5', '(5+i)'] -> ((5+i - i) * 5) - 1
[259] ['4i', '(3+4i)', '4', '(6+i)'] -> (4 + 4i) * (6+i - 3+4i)
